Date,Source,POC,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
04/25/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/26/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/27/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/28/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/29/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/30/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/01/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/02/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/03/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/04/2015,AQS,1,0.9,ppm,10,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/05/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/06/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/07/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/08/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/09/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/10/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/11/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/12/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/13/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/14/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/15/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/16/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/17/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/18/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/19/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/20/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/21/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/22/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/23/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
