Date,Source,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
03/02/2015,AQS,3,12,ug/m3 LC,56,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/03/2015,AQS,3,7.3,ug/m3 LC,41,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/04/2015,AQS,3,15.1,ug/m3 LC,62,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/05/2015,AQS,3,8.1,ug/m3 LC,45,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/06/2015,AQS,3,7.5,ug/m3 LC,42,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/07/2015,AQS,3,11.8,ug/m3 LC,56,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/08/2015,AQS,3,12.6,ug/m3 LC,58,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/09/2015,AQS,3,10.8,ug/m3 LC,54,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/10/2015,AQS,3,21.9,ug/m3 LC,75,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/11/2015,AQS,3,9.2,ug/m3 LC,51,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/12/2015,AQS,3,5.6,ug/m3 LC,31,CCNY,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,702,PM2.5 SCC w/Correction Factor,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
