Date,Source,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
04/17/2015,AQS,1,0.031,ppm,29,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/18/2015,AQS,1,0.051,ppm,47,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/19/2015,AQS,1,0.038,ppm,35,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/20/2015,AQS,1,0.026,ppm,24,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/21/2015,AQS,1,0.039,ppm,36,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/22/2015,AQS,1,0.037,ppm,34,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/23/2015,AQS,1,0.032,ppm,30,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/24/2015,AQS,1,0.031,ppm,29,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/25/2015,AQS,1,0.034,ppm,31,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/26/2015,AQS,1,0.041,ppm,38,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/27/2015,AQS,1,0.03,ppm,28,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/28/2015,AQS,1,0.043,ppm,40,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/29/2015,AQS,1,0.042,ppm,39,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/30/2015,AQS,1,0.035,ppm,32,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/01/2015,AQS,1,0.032,ppm,30,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/02/2015,AQS,1,0.035,ppm,32,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/03/2015,AQS,1,0.045,ppm,42,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/04/2015,AQS,1,0.054,ppm,50,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/05/2015,AQS,1,0.058,ppm,61,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/06/2015,AQS,1,0.037,ppm,34,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/07/2015,AQS,1,0.045,ppm,42,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/08/2015,AQS,1,0.052,ppm,48,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/09/2015,AQS,1,0.024,ppm,22,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/10/2015,AQS,1,0.024,ppm,22,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/11/2015,AQS,1,0.019,ppm,18,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/12/2015,AQS,1,0.052,ppm,48,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/13/2015,AQS,1,0.027,ppm,25,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/14/2015,AQS,1,0.047,ppm,44,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/15/2015,AQS,1,0.051,ppm,47,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/16/2015,AQS,1,0.031,ppm,29,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/17/2015,AQS,1,0.052,ppm,48,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/18/2015,AQS,1,0.028,ppm,26,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/19/2015,AQS,1,0.023,ppm,21,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/20/2015,AQS,1,0.029,ppm,27,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/21/2015,AQS,1,0.024,ppm,22,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/22/2015,AQS,1,0.046,ppm,43,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/23/2015,AQS,1,0.04,ppm,37,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/24/2015,AQS,1,0.058,ppm,61,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/25/2015,AQS,1,0.057,ppm,58,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/26/2015,AQS,1,0.052,ppm,48,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/27/2015,AQS,1,0.031,ppm,29,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/28/2015,AQS,1,0.041,ppm,38,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/29/2015,AQS,1,0.041,ppm,38,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/30/2015,AQS,1,0.028,ppm,26,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
05/31/2015,AQS,1,0.032,ppm,30,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
06/01/2015,AQS,1,0.018,ppm,17,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
06/02/2015,AQS,1,0.009,ppm,8,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
