Date,Source,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
04/09/2015,AQS,2,35.6,ppb,33,Azusa,19,79,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/10/2015,AQS,2,23.6,ppb,22,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/11/2015,AQS,2,22.3,ppb,21,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/12/2015,AQS,2,19.8,ppb,18,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/13/2015,AQS,2,28.7,ppb,26,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/14/2015,AQS,2,20.2,ppb,19,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/15/2015,AQS,2,25.4,ppb,24,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/16/2015,AQS,2,21.1,ppb,20,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/17/2015,AQS,2,35.2,ppb,33,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/18/2015,AQS,2,26.3,ppb,25,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/19/2015,AQS,2,25.3,ppb,24,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/20/2015,AQS,2,25,ppb,24,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/21/2015,AQS,2,26.6,ppb,25,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/22/2015,AQS,2,24.3,ppb,23,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/23/2015,AQS,2,28.7,ppb,26,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/24/2015,AQS,2,20.3,ppb,19,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/25/2015,AQS,2,25,ppb,24,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/26/2015,AQS,2,19.4,ppb,18,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/28/2015,AQS,2,42.8,ppb,40,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/29/2015,AQS,2,58.5,ppb,55,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/30/2015,AQS,2,52.2,ppb,49,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/02/2015,AQS,2,46.8,ppb,43,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/03/2015,AQS,2,10.9,ppb,9,Azusa,21,88,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/04/2015,AQS,2,22.9,ppb,21,Azusa,21,88,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/05/2015,AQS,2,16.4,ppb,15,Azusa,21,88,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/06/2015,AQS,2,15.9,ppb,14,Azusa,21,88,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/07/2015,AQS,2,14.7,ppb,13,Azusa,21,88,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/08/2015,AQS,2,17,ppb,16,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/09/2015,AQS,2,19.7,ppb,18,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/10/2015,AQS,2,22.1,ppb,21,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/11/2015,AQS,2,29.7,ppb,27,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/12/2015,AQS,2,25.2,ppb,24,Azusa,22,92,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/13/2015,AQS,2,19.3,ppb,18,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/14/2015,AQS,2,21.2,ppb,20,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/15/2015,AQS,2,14.3,ppb,13,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/16/2015,AQS,2,12.2,ppb,11,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/17/2015,AQS,2,20.6,ppb,19,Azusa,23,96,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
05/18/2015,AQS,2,19.2,ppb,18,Azusa,21,88,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
