Date,Source,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
03/24/2015,AQS,1,0.043,ppm,40,Azusa,15,88,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
03/25/2015,AQS,1,0.046,ppm,43,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
03/26/2015,AQS,1,0.05,ppm,46,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
03/27/2015,AQS,1,0.052,ppm,48,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
03/28/2015,AQS,1,0.054,ppm,50,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
03/29/2015,AQS,1,0.055,ppm,51,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
03/30/2015,AQS,1,0.05,ppm,46,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
03/31/2015,AQS,1,0.042,ppm,39,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/01/2015,AQS,1,0.049,ppm,45,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/02/2015,AQS,1,0.053,ppm,49,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/03/2015,AQS,1,0.056,ppm,54,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/04/2015,AQS,1,0.063,ppm,77,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/05/2015,AQS,1,0.052,ppm,48,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/06/2015,AQS,1,0.046,ppm,43,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/07/2015,AQS,1,0.038,ppm,35,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/08/2015,AQS,1,0.041,ppm,38,Azusa,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
04/09/2015,AQS,1,0.045,ppm,42,Azusa,16,94,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
